gold_label,sentence1,sentence2
entailment,yeah and then this curiosity,That yes we did display that okay
entailment,That yes we did display that okay,And then there's boredom
entailment,And then there's boredom,Okay
entailment,Okay,And then there's happiness
entailment,And then there's happiness,Okay
entailment,Okay,Then there's anger
entailment,Then there's anger,hahaha how we're gonna show anger But OK
entailment,hahaha how we're gonna show anger But OK,And then there's confusion
entailment,And then there's confusion,I just showed it
entailment,I just showed it,Good sadness
entailment,Good sadness,I mean I guess if I lose the Church
entailment,I mean I guess if I lose the Church,And then this concentration maybe we can put that
entailment,And then this concentration maybe we can put that,I don't mind the hand you're kind of
entailment,I don't mind the hand you're kind of,thinking
entailment,thinking,And there's surprise
entailment,And there's surprise,Then there's anxiety
entailment,Then there's anxiety,hey
entailment,hey,yeah I don't think I can do that
entailment,yeah I don't think I can do that,Then this disgust
entailment,Then this disgust,That can be done
entailment,That can be done,The opposite
entailment,The opposite,We can we could fake it because like you there we go there's discussed
entailment,We can we could fake it because like you there we go there's discussed,yeah
entailment,yeah,And then there's restlessness
entailment,And then there's restlessness,All right
entailment,All right,And then there's drowsiness
entailment,And then there's drowsiness,yeah pretty cool i'm feeling pretty sleepy though
entailment,yeah pretty cool i'm feeling pretty sleepy though,Okay
entailment,Okay,I think we're done
entailment,I think we're done,yeah let's go through the game so
entailment,yeah let's go through the game so,Why don't capture the plugins mean but from what I understand this is a copy of the game scores board and this is a classic game board
entailment,Why don't capture the plugins mean but from what I understand this is a copy of the game scores board and this is a classic game board,game board
entailment,game board,With dots and boxes
entailment,With dots and boxes,i'm not sure if you played it before but the objective of the game is to capture as many squares as possible
entailment,i'm not sure if you played it before but the objective of the game is to capture as many squares as possible,So like
entailment,So like,Each person will make one mine
entailment,Each person will make one mine,Like that will be mine Now this is yours and then
entailment,Like that will be mine Now this is yours and then,Mine and then whoever is the one who completes a square
entailment,Mine and then whoever is the one who completes a square,May capture that box so I guess I could fill it in
entailment,May capture that box so I guess I could fill it in,You know what let me actually share this with you too
entailment,You know what let me actually share this with you too,yeah I think yeah
entailment,yeah I think yeah,So it doesn't matter who did the three sides it matters who finishes the fourth side
entailment,So it doesn't matter who did the three sides it matters who finishes the fourth side,that's right
entailment,that's right,Okay
entailment,Okay,So at the very end of the game you count whoever has more squares and the other person
entailment,So at the very end of the game you count whoever has more squares and the other person,yeah so the person who does more squares wins it right
entailment,yeah so the person who does more squares wins it right,that's right
entailment,that's right,And every time you finish a square I think we have to log it somewhere because your lines and my lens everything looks the same and we can
entailment,And every time you finish a square I think we have to log it somewhere because your lines and my lens everything looks the same and we can,yeah I think we can well
entailment,yeah I think we can well,The color of the line doesn't necessarily matter it's whoever owns the box and matters and I think we can fill it in
entailment,The color of the line doesn't necessarily matter it's whoever owns the box and matters and I think we can fill it in,yeah yeah
entailment,yeah yeah,that's cool yes we can do that yeah
entailment,that's cool yes we can do that yeah,Something like this
entailment,Something like this,I guess I don't have access to it I just requested access
entailment,I guess I don't have access to it I just requested access,Okay try refreshing your page yeah
entailment,Okay try refreshing your page yeah,yeah
entailment,yeah,Okay
entailment,Okay,So should we start
entailment,So should we start,yeah
entailment,yeah,guess ladies first
entailment,guess ladies first,Oh are you able to color it
entailment,Oh are you able to color it,I didn't
entailment,I didn't,want me to color
entailment,want me to color,Oh no i'm seeing a color okay
entailment,Oh no i'm seeing a color okay,I think I can see that in the screen but
entailment,I think I can see that in the screen but,At my end I don't see in film
entailment,At my end I don't see in film,And I see your line
entailment,And I see your line,is good
entailment,is good,So one thing I forgot to specify is that whenever i'm captured his square they could to play one more turn
entailment,So one thing I forgot to specify is that whenever i'm captured his square they could to play one more turn,yeah
entailment,yeah,I don't have a strategy i'm just drawing lines
entailment,I don't have a strategy i'm just drawing lines,that's basically what i'm doing to
entailment,that's basically what i'm doing to,me really bad games and I played cut down with my friends and I always use
entailment,me really bad games and I played cut down with my friends and I always use,i'm always news
entailment,i'm always news,me recently that
entailment,me recently that,don't
entailment,don't,Control I just take control yeah
entailment,Control I just take control yeah,That was a good move
entailment,That was a good move,Oh my God okay
entailment,Oh my God okay,I just saw that there's a big square but
entailment,I just saw that there's a big square but,yeah
entailment,yeah,I just finished a squared but
entailment,I just finished a squared but,it's not the kind of square uh
entailment,it's not the kind of square uh,huh
entailment,huh,The game is going to get pretty tight
entailment,The game is going to get pretty tight,The last safe line somebody can draw
entailment,The last safe line somebody can draw,yeah I think so
entailment,yeah I think so,Okay let's
entailment,Okay let's,Put a shape in there
entailment,Put a shape in there,Sorry
entailment,Sorry,A shape
entailment,A shape,shape or something to indicate that it's yours
entailment,shape or something to indicate that it's yours,yeah
entailment,yeah,yeah
entailment,yeah,Okay I get to draw another line right
entailment,Okay I get to draw another line right,yeah there's kind of a punishment I guess now that
entailment,yeah there's kind of a punishment I guess now that,choice
entailment,choice,I want to say you fell for my trap but
entailment,I want to say you fell for my trap but,Oh my God
entailment,Oh my God,No there's
entailment,No there's,Not thinking very deeply in this at all
entailment,Not thinking very deeply in this at all,it's more pure luck
entailment,it's more pure luck,So go ahead
entailment,So go ahead,I guess we have to do a lot of talking so that we get a lot of
entailment,I guess we have to do a lot of talking so that we get a lot of,transcript
entailment,transcript,I guess yeah
entailment,I guess yeah,It is more about
entailment,It is more about,The transcript
entailment,The transcript,Well it's a couple of things
entailment,Well it's a couple of things,The video being on that green screen
entailment,The video being on that green screen,yeah and the emotions are for some
entailment,yeah and the emotions are for some,yeah collection of something
entailment,yeah collection of something,So sorry i'm just taking too long
entailment,So sorry i'm just taking too long,To make this move
entailment,To make this move,I think that's the best movie could have made here
entailment,I think that's the best movie could have made here,Okay
entailment,Okay,let's see
entailment,let's see,I guess there's no other way around it now
entailment,I guess there's no other way around it now,yeah
entailment,yeah,I didn't find any other options that you can miss giving a point to the opponent everything seems tight
entailment,I didn't find any other options that you can miss giving a point to the opponent everything seems tight,Did you watch that goal game that alphago play
entailment,Did you watch that goal game that alphago play,i've
entailment,i've,Back in 2013
entailment,Back in 2013,The first half ago games against
entailment,The first half ago games against,yeah I think I saw those
entailment,yeah I think I saw those,in Korea yeah was it third 2013 that's what happened or 2014 2015
entailment,in Korea yeah was it third 2013 that's what happened or 2014 2015,yeah
entailment,yeah,yeah
entailment,yeah,Okay it's still your move
entailment,Okay it's still your move,yeah study
entailment,yeah study,But yeah I did watch the game
entailment,But yeah I did watch the game,And I learned
entailment,And I learned,I already knew kind of how to play go before that and then I learned some more i'm not very good do you want to play go next
entailment,I already knew kind of how to play go before that and then I learned some more i'm not very good do you want to play go next,After this
entailment,After this,yeah because we have to play two games
entailment,yeah because we have to play two games,I don't necessarily have to be a different games
entailment,I don't necessarily have to be a different games,I mean I I don't know game I am I mean I don't know go I just saw that and and I really find it critical to understand like okay there's a pattern or I mean whoever occupies like a lot of territory and all right so
entailment,I mean I I don't know game I am I mean I don't know go I just saw that and and I really find it critical to understand like okay there's a pattern or I mean whoever occupies like a lot of territory and all right so,yeah
entailment,yeah,yeah that's true
entailment,yeah that's true,I guess
entailment,I guess,No you just place to another one so another lining you got a box
entailment,No you just place to another one so another lining you got a box,Okay this goes on it's not like there's a limit to it
entailment,Okay this goes on it's not like there's a limit to it,Yes every time you're finished something you have to do something
entailment,Yes every time you're finished something you have to do something,that's right least that's my understanding of it pretty sure that's right yeah cuz you can have long chains if I remember correctly
entailment,that's right least that's my understanding of it pretty sure that's right yeah cuz you can have long chains if I remember correctly,you're stuck in that dilemma yeah give me something
entailment,you're stuck in that dilemma yeah give me something,yeah
entailment,yeah,yeah
entailment,yeah,there's no there's no real
entailment,there's no there's no real,yeah I think it's end game now
entailment,yeah I think it's end game now,yeah let's do it
entailment,yeah let's do it,Another arrow
entailment,Another arrow,i'll give you this one
entailment,i'll give you this one,Why is it
entailment,Why is it,So I suppose you just contact the left to him and give up
entailment,So I suppose you just contact the left to him and give up,Something and i'll take to you
entailment,Something and i'll take to you,and give up something
entailment,and give up something,you'll take to you live something
entailment,you'll take to you live something,So are you in denton
entailment,So are you in denton,Right now i'm in San Antonio it kind of moves denton and Sam to focus somehow this is not coming up
entailment,Right now i'm in San Antonio it kind of moves denton and Sam to focus somehow this is not coming up,yeah that's fine
entailment,yeah that's fine,it's because there's that
entailment,it's because there's that,corner yeah
entailment,corner yeah,doesn't need to be perfect as long as we can talk
entailment,doesn't need to be perfect as long as we can talk,Because of that
entailment,Because of that,Okay let me just try to
entailment,Okay let me just try to,I think a line got deleted
entailment,I think a line got deleted,yeah
entailment,yeah,yeah you got it
entailment,yeah you got it,that's fine
entailment,that's fine,I guess put circles and then another
entailment,I guess put circles and then another,replace the line
entailment,replace the line,Okay
entailment,Okay,I guess i'll put their their
entailment,I guess i'll put their their,Last one is
entailment,Last one is,This last one is yours
entailment,This last one is yours,Did you say something to me
entailment,Did you say something to me,Where did you draw the last one
entailment,Where did you draw the last one,The last line I drew it
entailment,The last line I drew it,yeah I guess at the top right
entailment,yeah I guess at the top right,Yes
entailment,Yes,Just mess up Oh did I place the wrong thing in the wrong place
entailment,Just mess up Oh did I place the wrong thing in the wrong place,Oh I think that cost me the game
entailment,Oh I think that cost me the game,that's fine though
entailment,that's fine though,Well there's disappointment
entailment,Well there's disappointment,Okay
entailment,Okay,Because this is all yours now
entailment,Because this is all yours now,This is
entailment,This is,To win that game
entailment,To win that game,There you go first time
entailment,There you go first time,I guess it's just this weakness no
entailment,I guess it's just this weakness no,No I you know I mean not to but I think I mean I made a mistake there
entailment,No I you know I mean not to but I think I mean I made a mistake there,Okay it is 11 against seven
entailment,Okay it is 11 against seven,Your favorite so you won that game you want to play again or do you want to play a different game
entailment,Your favorite so you won that game you want to play again or do you want to play a different game,Everything is fine
entailment,Everything is fine,Do you want to learn how to play go go it takes a long time though maybe we can play a small board
entailment,Do you want to learn how to play go go it takes a long time though maybe we can play a small board,yeah
entailment,yeah,Let me see i'll have to find it
entailment,Let me see i'll have to find it,part you know what this is too much pain let's just play another game of this
entailment,part you know what this is too much pain let's just play another game of this,yeah something like this something simple
entailment,yeah something like this something simple,nurse there's an eraser option
entailment,nurse there's an eraser option,I guess you can just select all and then delete
entailment,I guess you can just select all and then delete,My don't want to delete the the dots either
entailment,My don't want to delete the the dots either,Okay want to stick with the same game
entailment,Okay want to stick with the same game,let's get a new sheet this
entailment,let's get a new sheet this,I think this is even a bigger board this time
entailment,I think this is even a bigger board this time,yeah
entailment,yeah,there's a dodo page
entailment,there's a dodo page,Okay yeah
entailment,Okay yeah,want to start this time
entailment,want to start this time,Okay well you one so I guess you okay
entailment,Okay well you one so I guess you okay,I don't know the rules there
entailment,I don't know the rules there,OK
entailment,OK,that's fine
entailment,that's fine,I saw the article did some experimental moves right
entailment,I saw the article did some experimental moves right,alphago um they trained on a bunch of games and then they discovered that it produce some useful insight that other humans aren't really doing
entailment,alphago um they trained on a bunch of games and then they discovered that it produce some useful insight that other humans aren't really doing,Yes then alphago zero came along and it just
entailment,Yes then alphago zero came along and it just,It was an adversarial network
entailment,It was an adversarial network,And it
entailment,And it,was a very big
entailment,was a very big,very big thing I mean it's
entailment,very big thing I mean it's,It was a very big like this media and then this this player and it's
entailment,It was a very big like this media and then this this player and it's,Very heavy that he lost and it's like
entailment,Very heavy that he lost and it's like,The entire nation is watching
entailment,The entire nation is watching,That game the sky it's very spiritual to them
entailment,That game the sky it's very spiritual to them,uh huh
entailment,uh huh,That I guess in that document yes or that like
entailment,That I guess in that document yes or that like,Sorry it's my turn okay you just do right
entailment,Sorry it's my turn okay you just do right,Yes now it's yours I think yes
entailment,Yes now it's yours I think yes,What what
entailment,What what,alphago
entailment,alphago,There is a lot of
entailment,There is a lot of,Processing power that be done
entailment,Processing power that be done,A lot of training that button
entailment,A lot of training that button,you're hindering the I mean
entailment,you're hindering the I mean,I think during the matches they had like a
entailment,I think during the matches they had like a,Year very powerful computer there
entailment,Year very powerful computer there,Oh you just played okay
entailment,Oh you just played okay,You drew the line no
entailment,You drew the line no,Yes I did I did it in the second row in the
entailment,Yes I did I did it in the second row in the,Third space
entailment,Third space,yeah
entailment,yeah,that's dangerous
entailment,that's dangerous,Having
entailment,Having,they're all dangerous
entailment,they're all dangerous,There we go
entailment,There we go,Oh my God
entailment,Oh my God,going to end well for somebody
entailment,going to end well for somebody,it's going to be a very bad game for
entailment,it's going to be a very bad game for,Attack mode i'm just playing defensive
entailment,Attack mode i'm just playing defensive,I mean there is no attack Defense right now we're just want to make shapes
entailment,I mean there is no attack Defense right now we're just want to make shapes,And just not
entailment,And just not,Making very bold moves like all the sequential stuff that you did and then you're creating some kind of
entailment,Making very bold moves like all the sequential stuff that you did and then you're creating some kind of,yeah just now am I saying okay there's a zigzag can do not be fun it looks like a maze
entailment,yeah just now am I saying okay there's a zigzag can do not be fun it looks like a maze,yeah
entailment,yeah,i'm sure it does came as strongly solved there is probably a strategy you can force
entailment,i'm sure it does came as strongly solved there is probably a strategy you can force,tic TAC toe is strongly salt
entailment,tic TAC toe is strongly salt,yeah
entailment,yeah,you're going along with this you're saying that i'm making all the dangerous moves but you're going along with it to you making them to
entailment,you're going along with this you're saying that i'm making all the dangerous moves but you're going along with it to you making them to,finish this for you
entailment,finish this for you,And I drew that line
entailment,And I drew that line,Okay just drew one line in the second row is it
entailment,Okay just drew one line in the second row is it,Yes
entailment,Yes,i'll go vertical line right
entailment,i'll go vertical line right,Yes
entailment,Yes,I guess the last time we played
entailment,I guess the last time we played,They were less number of rows right
entailment,They were less number of rows right,Now it's interesting
entailment,Now it's interesting,You draw a line now right
entailment,You draw a line now right,Yes yeah
entailment,Yes yeah,A good player will be able to read into this and calculate okay
entailment,A good player will be able to read into this and calculate okay,yeah
entailment,yeah,I don't want to think it's too late
entailment,I don't want to think it's too late,yeah
entailment,yeah,it's almost nine o'clock on a Thursday
entailment,it's almost nine o'clock on a Thursday,One mistake here is going to cost
entailment,One mistake here is going to cost,Real bad
entailment,Real bad,Maybe
entailment,Maybe,yep
entailment,yep,I think we have did
entailment,I think we have did,um yeah I think know how to let people
entailment,um yeah I think know how to let people,recover it with all the easy moves
entailment,recover it with all the easy moves,A lot of things now
entailment,A lot of things now,Maybe
entailment,Maybe,there's still another box you can take
entailment,there's still another box you can take,Do you see
entailment,Do you see,Oh God just give me a moment just lose this
entailment,Oh God just give me a moment just lose this,there's still another line
entailment,there's still another line,yeah the box okay
entailment,yeah the box okay,Okay
entailment,Okay,Oh if you
entailment,Oh if you,have this might lead me to take everything around yours
entailment,have this might lead me to take everything around yours,yeah
entailment,yeah,I don't know
entailment,I don't know,yeah I don't see a way out
entailment,yeah I don't see a way out,yeah i'm done let me just
entailment,yeah i'm done let me just,When you can go ahead and
entailment,When you can go ahead and,i'm just filling out the shoes
entailment,i'm just filling out the shoes,Okay
entailment,Okay,I guess I should do all the lines first
entailment,I guess I should do all the lines first,That means I have is I mean I have this oh
entailment,That means I have is I mean I have this oh,yeah this is brutal
entailment,yeah this is brutal,yeah
entailment,yeah,I still have other lines or continue
entailment,I still have other lines or continue,that's came
entailment,that's came,I lost pretty bad
entailment,I lost pretty bad,I guess I got lucky in that
entailment,I guess I got lucky in that,You had to take those pieces
entailment,You had to take those pieces,yeah
entailment,yeah,And I guess the way the whole
entailment,And I guess the way the whole,I mean we just do random stuff we didn't have a strategy and
entailment,I mean we just do random stuff we didn't have a strategy and,20 and Friday right
entailment,20 and Friday right,yeah
entailment,yeah,I mean I know for sure everyone because of luck
entailment,I mean I know for sure everyone because of luck,Good I have played this maybe differently I mean the last line that I drew if I would have drawn i'm the one that you started with the parameter finish that line
entailment,Good I have played this maybe differently I mean the last line that I drew if I would have drawn i'm the one that you started with the parameter finish that line,anyways it I don't think it would have made a difference because
entailment,anyways it I don't think it would have made a difference because,desktop the stuff is like a chain reaction
entailment,desktop the stuff is like a chain reaction,it's just lane away from
entailment,it's just lane away from,becoming the box
entailment,becoming the box,yeah
entailment,yeah,I guess where you could have done was not take dissenters and try to burn
entailment,I guess where you could have done was not take dissenters and try to burn,Online off to the side
entailment,Online off to the side,yeah
entailment,yeah,i'm not sure if that would have worked
entailment,i'm not sure if that would have worked,yeah
entailment,yeah,redemption
entailment,redemption,Okay
entailment,Okay,i'm gonna stop the share now
entailment,i'm gonna stop the share now,Do we have anything else to do
entailment,Do we have anything else to do,document
entailment,document,Oh there's triumph I did show triumph
entailment,Oh there's triumph I did show triumph,yeah
entailment,yeah,If you know
entailment,If you know,If they can actually detected with this bad lighting
entailment,If they can actually detected with this bad lighting,yeah
entailment,yeah,So I guess once we end this call will have the recordings with us
neutral,So I guess once we end this call will have the recordings with us,All right
entailment,All right,Can you request access to this new Doc
entailment,Can you request access to this new Doc,You check if you
entailment,You check if you,got it yes yes I can access the document
entailment,got it yes yes I can access the document,Okay
entailment,Okay,Good
entailment,Good,All right
entailment,All right,hi
entailment,hi,and I guess we're in this class together but are you in any other classes
entailment,and I guess we're in this class together but are you in any other classes,Yes I mean does it in this process processing plant
entailment,Yes I mean does it in this process processing plant,Apart from this artificial intelligence and taking digitally miss purchasing class as well and the next class he is individual research as a PhD student support and how about you
entailment,Apart from this artificial intelligence and taking digitally miss purchasing class as well and the next class he is individual research as a PhD student support and how about you,um i'm wondering now I finished my undergrad long Barclays seven years back and then i've been working with multiple mcs mostly in banking developing trading applications and transaction applications and then I got God
entailment,um i'm wondering now I finished my undergrad long Barclays seven years back and then i've been working with multiple mcs mostly in banking developing trading applications and transaction applications and then I got God,You know curious about data analytics and then how things are going on
entailment,You know curious about data analytics and then how things are going on,and see how things are going to progress in the next few years with all this data and how I mean what kind of change it can bring in well I just thought i'd do masters in Ai
entailment,and see how things are going to progress in the next few years with all this data and how I mean what kind of change it can bring in well I just thought i'd do masters in Ai,yeah
entailment,yeah,Exactly sounds good
entailment,Exactly sounds good,yeah So for me i'm doing my PhD
entailment,yeah So for me i'm doing my PhD,In computer science engineering PhD
entailment,In computer science engineering PhD,PhD right
entailment,PhD right,computer science and engineering so my concentrates and he's basically in autonomous vehicles self driving cars
entailment,computer science and engineering so my concentrates and he's basically in autonomous vehicles self driving cars,So i'm currently we're trying to build
entailment,So i'm currently we're trying to build,Self driving cars and we are we are almost
entailment,Self driving cars and we are we are almost,I think we're better
entailment,I think we're better,Almost halfway
entailment,Almost halfway,To building autonomous vehicle and by ourselves and hopefully by the end of the Semester we will be able to showcase the whole project and to the end community as well
entailment,To building autonomous vehicle and by ourselves and hopefully by the end of the Semester we will be able to showcase the whole project and to the end community as well,No that's
entailment,No that's,It
entailment,It,And I guess that's a lot of hard work late me yeah
entailment,And I guess that's a lot of hard work late me yeah,A lot of it's been almost a one and a half here that we're working on the project and basically started from
entailment,A lot of it's been almost a one and a half here that we're working on the project and basically started from,Building the vehicle itself and now all the you know inside the stuff with the programming controlling the vehicle and all the hard work is going on so yeah
entailment,Building the vehicle itself and now all the you know inside the stuff with the programming controlling the vehicle and all the hard work is going on so yeah,Hopefully by the engineering staff so you have people working on the vision
entailment,Hopefully by the engineering staff so you have people working on the vision,And toys yes
entailment,And toys yes,We have a group of
entailment,We have a group of,More than 10 students who are working on you know respective fields and trying to you know
entailment,More than 10 students who are working on you know respective fields and trying to you know,bring all those things together and build a good platform
entailment,bring all those things together and build a good platform,it's amazing
entailment,it's amazing,Oh my God it's really exciting
entailment,Oh my God it's really exciting,All right or you can come to visit our laws we have a vehicle in there and I can do the small suitcase
entailment,All right or you can come to visit our laws we have a vehicle in there and I can do the small suitcase,Okay so your vest is located at the discovery park
entailment,Okay so your vest is located at the discovery park,Yes behind the cafeteria
entailment,Yes behind the cafeteria,Okay
entailment,Okay,i've been doing discovery park
entailment,i've been doing discovery park,yeah twice
entailment,yeah twice,So you must be
entailment,So you must be,Connected all because of the pandemic
entailment,Connected all because of the pandemic,yeah right so this is your first year here in the
entailment,yeah right so this is your first year here in the,Midwest and Mr That is why that is why
entailment,Midwest and Mr That is why that is why,That is the reason why
entailment,That is the reason why,All right now I guess we can start
entailment,All right now I guess we can start,yeah so
entailment,yeah so,i'll be I don't think we need to share the screen
entailment,i'll be I don't think we need to share the screen,Oh yes I don't think
entailment,Oh yes I don't think,yeah we just We just need the video
entailment,yeah we just We just need the video,Okay right and I I didn't turn on the transcript I guess I turned it on like two minutes into the meeting so
entailment,Okay right and I I didn't turn on the transcript I guess I turned it on like two minutes into the meeting so,That yeah that'd be fine
entailment,That yeah that'd be fine,So you are on this page
entailment,So you are on this page,I believe so yes
entailment,I believe so yes,Yes
entailment,Yes,Yes good
entailment,Yes good,So this board is called
entailment,So this board is called,The West board the game is basically you know typically it's played by two players
entailment,The West board the game is basically you know typically it's played by two players,and
entailment,and,Here you will see that there's a matrix of dots
entailment,Here you will see that there's a matrix of dots,And you all you have to do is draw a line
entailment,And you all you have to do is draw a line,connect dots obviously not diagnosed
entailment,connect dots obviously not diagnosed,But vertical and horizontal lines you can draw a vertical and horizontal lines
entailment,But vertical and horizontal lines you can draw a vertical and horizontal lines,And then
entailment,And then,I mean you could draw a line and then I could draw a line we could draw lines any way we want to do
entailment,I mean you could draw a line and then I could draw a line we could draw lines any way we want to do,rice and then if you see a box coming in
entailment,rice and then if you see a box coming in,Right when I say a box it's not like a box that's connecting the bigger leaving out some dots inside the box that's not the case so you need to find for ages and dots and then that's a box
entailment,Right when I say a box it's not like a box that's connecting the bigger leaving out some dots inside the box that's not the case so you need to find for ages and dots and then that's a box,And then if you see three lines already drawn if you finish the fourth line if you finish your boss you can put your label inside that some shape or whatever
entailment,And then if you see three lines already drawn if you finish the fourth line if you finish your boss you can put your label inside that some shape or whatever,So that
entailment,So that,One that box
entailment,One that box,All right
entailment,All right,And by the end of the game whoever has the most number of boxes wins this game
entailment,And by the end of the game whoever has the most number of boxes wins this game,Alright alright sounds good
entailment,Alright alright sounds good,And then once you're done with the box I mean
entailment,And then once you're done with the box I mean,You have to draw a line each time when you're done comes and then if in your turn
entailment,You have to draw a line each time when you're done comes and then if in your turn,If you draw a line and finish your box and then label the box you when the box
entailment,If you draw a line and finish your box and then label the box you when the box,You have to draw another line every time you win a box you have to run a deadline
entailment,You have to draw another line every time you win a box you have to run a deadline,that's one of the reasons
entailment,that's one of the reasons,to play with the rules right
entailment,to play with the rules right,Yes okay so let's start the game will you can start first is your question
entailment,Yes okay so let's start the game will you can start first is your question,Alright so we have to draw the line right
entailment,Alright so we have to draw the line right,Okay
entailment,Okay,about this
entailment,about this,Okay see the line
entailment,Okay see the line,yeah looks good yeah
entailment,yeah looks good yeah,All right
entailment,All right,Oh wait
entailment,Oh wait,yeah
entailment,yeah,it's your turn okay
entailment,it's your turn okay,Nice working
entailment,Nice working,straight line
entailment,straight line,From my side
entailment,From my side,Dun
entailment,Dun,Dun
entailment,Dun,yeah
entailment,yeah,Was that the last
entailment,Was that the last,I think so right
entailment,I think so right,I think there's we still got one more before we start labeling things out
entailment,I think there's we still got one more before we start labeling things out,This one not this one
entailment,This one not this one,not this one
entailment,not this one,not this one this one
entailment,not this one this one,I guess that was the last one
entailment,I guess that was the last one,Maybe
entailment,Maybe,yeah
entailment,yeah,yeah just give you one
entailment,yeah just give you one,yeah
entailment,yeah,alright
entailment,alright,X box
entailment,X box,Also another one right
entailment,Also another one right,text box
entailment,text box,And also another one
entailment,And also another one,So basically you can draw as many yeah I says we want right okay
entailment,So basically you can draw as many yeah I says we want right okay,This one
entailment,This one,I wanted to place the line somewhere and then I miscalculated and I placed it
entailment,I wanted to place the line somewhere and then I miscalculated and I placed it,yeah
entailment,yeah,Another one
entailment,Another one,I think that's it now I have to give you
entailment,I think that's it now I have to give you,One line right
entailment,One line right,yeah
entailment,yeah,All right
entailment,All right,it's yells the most minimum are the least
entailment,it's yells the most minimum are the least,boxes
entailment,boxes,isn't have one
entailment,isn't have one,I think that gives you maximum two boxes
entailment,I think that gives you maximum two boxes,yeah
entailment,yeah,That should have been my
entailment,That should have been my,yeah
entailment,yeah,waiting for you there was another option for you to write your label but you missed it I guess I can use that
entailment,waiting for you there was another option for you to write your label but you missed it I guess I can use that,That was a strategic move
entailment,That was a strategic move,yeah That was good that was
entailment,yeah That was good that was,yeah I was just I was wondering why you did that
entailment,yeah I was just I was wondering why you did that,That was a good you
entailment,That was a good you,You caught me off guard
entailment,You caught me off guard,All the Games I when I do this kind of
entailment,All the Games I when I do this kind of,I think you have all the remaining boxes under your level now
entailment,I think you have all the remaining boxes under your level now,yeah just go ahead and draw the line
entailment,yeah just go ahead and draw the line,If there's any other thing any anything I can do
entailment,If there's any other thing any anything I can do,yeah I don't think there's
entailment,yeah I don't think there's,Anything I can do
entailment,Anything I can do,Alright I give up
entailment,Alright I give up,I guess you won the game
entailment,I guess you won the game,That was a nice move
entailment,That was a nice move,That was a great
entailment,That was a great,thing
entailment,thing,I actually um
entailment,I actually um,So I didn't play this game before and then I
entailment,So I didn't play this game before and then I,I started playing with our classmates So the first game that I played
entailment,I started playing with our classmates So the first game that I played,I won I won that game and that was with some one of this kind of move
entailment,I won I won that game and that was with some one of this kind of move,mm hmm but the other person he knew I mean
entailment,mm hmm but the other person he knew I mean,He had he didn't have any option so he he had to let it go but he knew you wouldn't know because is you just played now but that guy is kind of a protein he knows the game so he knew that i'd made a good mood and it was a good move there before
entailment,He had he didn't have any option so he he had to let it go but he knew you wouldn't know because is you just played now but that guy is kind of a protein he knows the game so he knew that i'd made a good mood and it was a good move there before,Right
entailment,Right,So cool it's
entailment,So cool it's,94123 yep
entailment,94123 yep,yeah That was a good game
entailment,yeah That was a good game,Right oh
entailment,Right oh,what's the next game the
entailment,what's the next game the,Next game
entailment,Next game,yeah anything in mind
entailment,yeah anything in mind,What was the games that he played before
entailment,What was the games that he played before,You could do checkers
entailment,You could do checkers,So go for it
entailment,So go for it,Give your profile a name I mean once you just go there give yourself a name so that I
entailment,Give your profile a name I mean once you just go there give yourself a name so that I,tell me what name you gave there so that i'll send you a game request
entailment,tell me what name you gave there so that i'll send you a game request,All right
entailment,All right,You mean I have to create a
entailment,You mean I have to create a,New
entailment,New,ask you what name you want to give to your
entailment,ask you what name you want to give to your,Can you click on hockey player
entailment,Can you click on hockey player,All right he has a son
entailment,All right he has a son,named it to the
entailment,named it to the,yep
entailment,yep,I should be able to see no
entailment,I should be able to see no,decline
entailment,decline,Yes I see you now can you accept that
entailment,Yes I see you now can you accept that,Okay good so we are in the game
entailment,Okay good so we are in the game,Alright so this is checkers
entailment,Alright so this is checkers,uh huh it looks like chess if you see the Board and the structure of it so you see your coins and then you see mine and going can only move diagnose right like you have this to the coin you see that it's in a
entailment,uh huh it looks like chess if you see the Board and the structure of it so you see your coins and then you see mine and going can only move diagnose right like you have this to the coin you see that it's in a,brown squared right
entailment,brown squared right,That this coins can only move in brown squares Mitch which means they can only move diagnose
entailment,That this coins can only move in brown squares Mitch which means they can only move diagnose,Left or Right doesn't
entailment,Left or Right doesn't,By the coin cannot come back it only can move forward
entailment,By the coin cannot come back it only can move forward,Okay and then
entailment,Okay and then,So if somebody coin is there in the diagonal
entailment,So if somebody coin is there in the diagonal,Right and then if you jump over that you can jump over that coin
entailment,Right and then if you jump over that you can jump over that coin,Like ideally you can move only one space right once
entailment,Like ideally you can move only one space right once,But if somebody is kind is there you can jump over the guy
entailment,But if somebody is kind is there you can jump over the guy,And you know you can go to the other
entailment,And you know you can go to the other,The second one and then this you win that coin you take away that coin
entailment,The second one and then this you win that coin you take away that coin,Okay so we'll get some more coins they win and also if you're able to go to the other end of the board
entailment,Okay so we'll get some more coins they win and also if you're able to go to the other end of the board,To this blue squares if you're able to go to the last blue I mean brown square that's there on the other end of the board
entailment,To this blue squares if you're able to go to the last blue I mean brown square that's there on the other end of the board,your mind becomes a king so once it becomes a king it can play backwards as well right now all of this
entailment,your mind becomes a king so once it becomes a king it can play backwards as well right now all of this,can only move forwards diagonally
